STT,NameGroup,ArrivalDate,DeptDate,Status,CompanyTA,MarketSegment,Source,RateCode,ArrivalCarrier,ArrivalTime,DeptCarrier,DeptTime,BookedRmType1,NumOfRoomType1,NumberOfGuests1,BookedRmType2,NumOfRoomType2,NumberOfGuests2,Note
13,China0367-0310 2xx/5x,03/10/2025,05/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
14,China0367-0410 2xx/5x,04/10/2025,06/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
15,Aeroflot 0410-6xx/4x,04/10/2025,09/10/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
16,China6089-0410 2xx/5x,04/10/2025,06/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
17,China0367-0510 2xx/5x,05/10/2025,07/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
18,China6089-0510 2xx/5x,05/10/2025,07/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
19,China6089-0610 2xx/5x,06/10/2025,08/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
20,China0367-0610 2xx/5x,06/10/2025,08/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
21,China6089-0710 2xx/5x,07/10/2025,09/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
23,China0367-0710 2xx/5x,07/10/2025,09/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
25,China6089-0810 2xx/5x,08/10/2025,10/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
26,China0367-0810 2xx/5x,08/10/2025,10/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
27,China6089-0910 2xx/5x,09/10/2025,11/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
28,Aeroflot 0910-6xx/4x,09/10/2025,11/10/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
29,China0367-0910 2xx/5x,09/10/2025,11/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
30,China0367-1010 2xx/5x,10/10/2025,12/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
31,China6089-1010 2xx/5x,10/10/2025,12/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
32,Aeroflot 1110-6xx/4x,11/10/2025,16/10/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
33,China6089-1110 2xx/5x,11/10/2025,13/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
34,China0367-1110 2xx/5x,11/10/2025,13/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
35,China6089-1210 2xx/5x,12/10/2025,14/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
36,China0367-1210 2xx/5x,12/10/2025,14/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
37,China6089-1310 2xx/5x,13/10/2025,15/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
38,China0367-1310 2xx/5x,13/10/2025,15/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
39,China6089-1410 2xx/5x,14/10/2025,16/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
40,China0367-1410 2xx/5x,14/10/2025,16/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
41,China6089-1510 2xx/5x,15/10/2025,17/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
42,China0367-1510 2xx/5x,15/10/2025,17/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
43,China0367-1610 2xx/5x,16/10/2025,18/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,"GCCRWCSA",CZ 0367,22:00,CZ 0368,08:00,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract."
44,China6089-1610 2xx/5x,16/10/2025,18/10/2025,Definite,GPS-CHINA SOUTHERN AIRLINES OMPANY LIMITED,AIR,AIR,GCCRWCSA,CZ 6089,01:35,CZ 6090,02:35,ST,2,4,SK,5,5,"Rm charge to Co after C/O, ABF Incl. Meal Vouchers & CS Airlines Benefits follow the contract.
P/U at 01:35am (Early Moning Next Day)"
45,Aeroflot 1610-6xx/4x,16/10/2025,18/10/2025,Definite,GPS-PUBLIC JOINT STOCK COMPANY AEROFLOT RUSSIAN AIRLINES,AIR,AIR,GCCRWARF,SU 292,09:45,SU 293,08:45,ST,6,12,SK,4,4,"Rm To Co after C/O by CL,  ABF + Buffet Lunch + Buffet Dinner Incl.  Aeroflot Benefits Incl Follow the Contract."
